url,subject,body,label
http://194.154.43.97/instagram/login,Security Alert - Instagram,I hope this message finds you well. We are writing to inform you that your instagram account requires verification. Please be advised that failure to complete this process may result in service interruption.,1
http://187.49.166.64/chase/login,Urgent: Chase Account Suspended,"Dear valued customer, We detected suspicious login attempts on your chase account. Click here act now to secure your account.",1
https://myaccount.apple.com/security,Security alert for your Apple Account,"Hi Pat Wilson, We noticed a new sign-in to your account from a Windows device in New York. If this was you, you don't need to do anything. If not, review your account activity at https://myaccount.apple.com/security",0
https://t.co/abc123,Ebay Security Alert,I hope this message finds you well. We are writing to inform you that your ebay account requires verification. Please be advised that failure to complete this process may result in service interruption.,1
https://update.secure.login.bankofamerica-verify.com,Action Required: Bankofamerica Account,"Dear valued customer, We detected suspicious login attempts on your bankofamerica account. Click here click here to secure your account.",1
https://www.linkedin.com/notifications,You have a new connection,"Hi Morgan, You have a new connection. View details at https://www.linkedin.com/notifications",0
https://www.walmart.com/orders,Your Walmart order confirmation #440657,"Hi John Smith, Thank you for your order. Your package will arrive on Dec 17. Track your order at https://www.walmart.com/orders",0
http://nnetflix.com/verify,Netflix - Immediate Action Required,"Dear user, Your netflix account will be closed within 48 hours unless you verify your identity. Enter your routing number.",1
http://citibank-secure.com/verify,Citibank - Immediate Action Required,"Dear valued customer, We detected suspicious login attempts on your citibank account. Click here confirm now to secure your account.",1
http://chase-secure.racing/login,Your Chase account needs verification,"Dear user, Your chase account will be closed within 24 hours unless you verify your identity. Enter your date of birth.",1
https://bl.ink/1a2b3c,Facebook Security Alert,I hope this message finds you well. We are writing to inform you that your facebook account requires verification. Please be advised that failure to complete this process may result in service interruption.,1
https://www.netflix.com/notifications,New shows added to your list,"Hi Morgan, New shows added to your list. View details at https://www.netflix.com/notifications",0
http://3.21.71.229/walmart/login,Verify Your Walmart Account,"Dear valued customer, We detected suspicious login attempts on your walmart account. Click here act now to secure your account.",1
https://www.github.com/notifications,New issue in your repository,"Hi Alex, New issue in your repository. View details at https://www.github.com/notifications",0
https://secure.login.update.walmart-verify.com,Action Required: Walmart Account,"Dear customer, Your walmart account has been suspended due to unusual activity. Hurry to verify your account. Provide your password.",1
https://www.amazon.com/orders,Your Amazon order confirmation #818293,"Hi John Smith, Thank you for your order. Your package will arrive on Dec 17. Track your order at https://www.amazon.com/orders",0
https://account.secure.login.target-verify.com,Action Required: Target Account,"Dear valued customer, We detected suspicious login attempts on your target account. Click here act now to secure your account.",1
http://ttargett.com/verify,Target - Immediate Action Required,"Dear valued customer, We detected suspicious login attempts on your target account. Click here immediately to secure your account.",1
https://secure.account.verify.twitter-verify.com,Action Required: Twitter Account,"Dear customer, Your twitter account has been suspended due to unusual activity. Confirm now to verify your account. Provide your password.",1
http://18.187.35.3/americanexpress/login,Verify Your Americanexpress Account,"Dear customer, Your americanexpress account has been suspended due to unusual activity. Act fast to verify your account. Provide your password.",1
https://myaccount.google.com/security,Security alert for your Google Account,"Hi Pat Wilson, We noticed a new sign-in to your account from a Windows device in New York. If this was you, you don't need to do anything. If not, review your account activity at https://myaccount.google.com/security",0
http://netflix.com/verify,Netflix - Immediate Action Required,"Dear customer, Your netflix account has been suspended due to unusual activity. Account will be closed to verify your account. Provide your SSN.",1
